ID,착과량(int)
TEST_0000,224.00898523884885
TEST_0001,752.9109174519372
TEST_0002,141.52589317564113
TEST_0003,437.14848651937456
TEST_0004,685.4244269528476
TEST_0005,290.0863445666334
TEST_0006,112.75503114963912
TEST_0007,26.624000022792433
TEST_0008,329.67752929923705
TEST_0009,220.44380225440372
TEST_0010,570.0937795406464
TEST_0011,741.5673501889569
TEST_0012,451.3683857447704
TEST_0013,401.09405420006993
TEST_0014,73.32442262175671
TEST_0015,141.01149063546296
TEST_0016,458.9567648784116
TEST_0017,396.1004022506389
TEST_0018,237.0602583740794
TEST_0019,551.7237517917662
TEST_0020,252.02926599814074
TEST_0021,355.95815692760203
TEST_0022,456.609153968969
TEST_0023,233.78157083187324
TEST_0024,156.83606651735795
TEST_0025,638.8926539013307
TEST_0026,171.19267669546446
TEST_0027,751.2496902639762
TEST_0028,643.3387079682774
TEST_0029,443.4727777359519
TEST_0030,25.77034759783985
TEST_0031,598.7350941145062
TEST_0032,672.4229804448581
TEST_0033,541.893642908787
TEST_0034,549.7769703072349
TEST_0035,339.9764227146464
TEST_0036,240.59654137180573
TEST_0037,654.3242968616694
TEST_0038,25.860755153517328
TEST_0039,443.8404405384648
TEST_0040,403.05111721734585
TEST_0041,123.65816767338492
TEST_0042,736.3511797098457
TEST_0043,70.84345735316313
TEST_0044,571.0487534482496
TEST_0045,325.8681122530349
TEST_0046,752.0583793058487
TEST_0047,495.24058686708497
TEST_0048,334.739996875378
TEST_0049,469.3931250763152
TEST_0050,556.9297824721567
TEST_0051,651.9255318260477
TEST_0052,459.6096178124607
TEST_0053,468.2483176089431
TEST_0054,376.0504730655101
TEST_0055,155.25419632613202
TEST_0056,755.6088980470538
TEST_0057,531.340820810931
TEST_0058,526.9324477954017
TEST_0059,546.8391519988697
TEST_0060,431.49391691498164
TEST_0061,59.66974763186888
TEST_0062,557.1594222950237
TEST_0063,334.19730901950504
TEST_0064,533.4273111993886
TEST_0065,332.6975559965385
TEST_0066,445.9129167548497
TEST_0067,443.63260930973985
TEST_0068,145.0592547222282
TEST_0069,676.6910668665552
TEST_0070,771.2057504236154
TEST_0071,752.8332155958267
TEST_0072,657.6335547315755
TEST_0073,265.96996397430155
TEST_0074,158.43891380762986
TEST_0075,268.93007058923286
TEST_0076,144.1745141939327
TEST_0077,662.6813998634796
TEST_0078,753.4675265446301
TEST_0079,331.1456245584329
TEST_0080,242.9562902437271
TEST_0081,52.164681709652534
TEST_0082,82.55298120567156
TEST_0083,648.3643983380243
TEST_0084,600.5988119286316
TEST_0085,478.34344835668924
TEST_0086,244.65338397707748
TEST_0087,341.7351882532246
TEST_0088,56.398490856712286
TEST_0089,120.4941159857631
TEST_0090,41.56329402181691
TEST_0091,382.6880565200405
TEST_0092,529.173071486811
